;dat_reference;dat_previsao;num_termo;val_vaz_pred;val_vaz_true
543;2014-08-30;2014-09-02;4;36,920894376190226;29,0
544;2014-08-30;2014-09-03;5;34,79858466079879;29,0
545;2014-08-30;2014-09-04;6;33,96366666572452;30,0
546;2014-08-30;2014-09-05;7;32,63343873376214;31,0
547;2014-08-30;2014-09-06;8;32,64585821644128;31,0
548;2014-08-30;2014-09-07;9;31,412998562695115;30,0
549;2014-08-30;2014-09-08;10;30,285225551829605;30,0
550;2014-09-06;2014-09-06;1;32,539571925606666;31,0
551;2014-09-06;2014-09-07;2;31,222341140145186;30,0
552;2014-09-06;2014-09-08;3;30,264524968079325;30,0
553;2014-09-06;2014-09-09;4;31,681334014343516;29,0
554;2014-09-06;2014-09-10;5;29,161506857061465;28,0
555;2014-09-06;2014-09-11;6;29,709991475996844;28,0
556;2014-09-06;2014-09-12;7;29,815586861345647;27,0
557;2014-09-06;2014-09-13;8;30,130703119672614;26,0
558;2014-09-06;2014-09-14;9;30,676755210843794;26,0
559;2014-09-06;2014-09-15;10;29,29743891042069;25,0
560;2014-09-13;2014-09-13;1;30,079831313200007;26,0
561;2014-09-13;2014-09-14;2;30,635935039378236;26,0
562;2014-09-13;2014-09-15;3;29,306767920661212;25,0
563;2014-09-13;2014-09-16;4;31,198138806567204;25,0
564;2014-09-13;2014-09-17;5;32,00532154865742;24,0
565;2014-09-13;2014-09-18;6;31,429140403139264;24,0
566;2014-09-13;2014-09-19;7;30,841522661663923;24,0
567;2014-09-13;2014-09-20;8;30,813371404279135;24,0
568;2014-09-13;2014-09-21;9;29,823452294240816;23,0
569;2014-09-13;2014-09-22;10;29,326261634559177;23,0
570;2014-09-20;2014-09-20;1;30,675698790739983;24,0
571;2014-09-20;2014-09-21;2;29,6673408897846;23,0
572;2014-09-20;2014-09-22;3;29,342232833691806;23,0
573;2014-09-20;2014-09-23;4;28,145213589615185;23,0
574;2014-09-20;2014-09-24;5;27,28851396690163;23,0
575;2014-09-20;2014-09-25;6;27,092584667053746;23,0
576;2014-09-20;2014-09-26;7;27,291490551522877;23,0
577;2014-09-20;2014-09-27;8;26,302916540316023;23,0
578;2014-09-20;2014-09-28;9;27,232769035526534;23,0
579;2014-09-20;2014-09-29;10;24,697799328676492;22,0
580;2014-09-27;2014-09-27;1;26,15983544219294;23,0
581;2014-09-27;2014-09-28;2;26,98185871451552;23,0
582;2014-09-27;2014-09-29;3;24,722993677244084;22,0
583;2014-09-27;2014-09-30;4;25,15970449698477;23,0
584;2014-09-27;2014-10-01;5;25,588684143119504;23,0
585;2014-09-27;2014-10-02;6;26,850687340768044;22,0
586;2014-09-27;2014-10-03;7;23,024719876379404;23,0
587;2014-09-27;2014-10-04;8;24,494884527520526;24,0
588;2014-09-27;2014-10-05;9;25,52278930340039;26,0
589;2014-09-27;2014-10-06;10;26,67905057654762;26,0
590;2014-10-04;2014-10-04;1;24,41894143378433;24,0
591;2014-10-04;2014-10-05;2;25,355469478801407;26,0
592;2014-10-04;2014-10-06;3;26,734412346556212;26,0
593;2014-10-04;2014-10-07;4;26,03495887062161;25,0
594;2014-10-04;2014-10-08;5;24,979715409422152;25,0
595;2014-10-04;2014-10-09;6;24,56668586078803;24,0
596;2014-10-04;2014-10-10;7;24,468494306865868;24,0
597;2014-10-04;2014-10-11;8;21,622448161672875;24,0
598;2014-10-04;2014-10-12;9;24,94882051947535;24,0
599;2014-10-04;2014-10-13;10;27,76738595841682;23,0
600;2014-10-11;2014-10-11;1;21,631438023283263;24,0
601;2014-10-11;2014-10-12;2;24,949790359616422;24,0
602;2014-10-11;2014-10-13;3;27,76981950399215;23,0
603;2014-10-11;2014-10-14;4;24,021909409923104;23,0
604;2014-10-11;2014-10-15;5;25,0143339758956;23,0
605;2014-10-11;2014-10-16;6;26,13780114459039;23,0
606;2014-10-11;2014-10-17;7;27,53223986568091;23,0
607;2014-10-11;2014-10-18;8;27,629695283574225;23,0
608;2014-10-11;2014-10-19;9;26,952688614902076;23,0
609;2014-10-11;2014-10-20;10;26,58282076142729;23,0
610;2014-10-18;2014-10-18;1;27,64757166834125;23,0
611;2014-10-18;2014-10-19;2;26,926018214067238;23,0
612;2014-10-18;2014-10-20;3;26,3776519104469;23,0
613;2014-10-18;2014-10-21;4;25,395596855703783;23,0
614;2014-10-18;2014-10-22;5;25,568895555164453;24,0
615;2014-10-18;2014-10-23;6;24,775913963958;24,0
616;2014-10-18;2014-10-24;7;25,212915354450853;24,0
617;2014-10-18;2014-10-25;8;23,776613706289123;25,0
618;2014-10-18;2014-10-26;9;24,647035911337394;25,0
619;2014-10-18;2014-10-27;10;24,31651826160946;26,0
620;2014-10-25;2014-10-25;1;23,687286644646413;25,0
621;2014-10-25;2014-10-26;2;24,524740066040696;25,0
622;2014-10-25;2014-10-27;3;24,39087480829062;26,0
623;2014-10-25;2014-10-28;4;25,1383588633941;27,0
624;2014-10-25;2014-10-29;5;24,55420302252723;28,0
625;2014-10-25;2014-10-30;6;23,665398958419654;29,0
626;2014-10-25;2014-10-31;7;27,444292611342927;30,0
627;2014-10-25;2014-11-01;8;24,012988596052047;34,0
628;2014-10-25;2014-11-02;9;25,448239961810767;43,0
629;2014-10-25;2014-11-03;10;24,825746347351462;50,0
630;2014-11-01;2014-11-01;1;24,06644779857196;34,0
631;2014-11-01;2014-11-02;2;25,501047732533994;43,0
632;2014-11-01;2014-11-03;3;24,80948462172184;50,0
633;2014-11-01;2014-11-04;4;23,112829250189172;44,0
634;2014-11-01;2014-11-05;5;24,254305317786663;41,0
635;2014-11-01;2014-11-06;6;30,622168077476537;39,0
636;2014-11-01;2014-11-07;7;27,44615042632383;41,0
637;2014-11-01;2014-11-08;8;29,333706908340893;51,0
638;2014-11-01;2014-11-09;9;26,311601222389136;57,0
639;2014-11-01;2014-11-10;10;29,049671767043765;57,0
640;2014-11-08;2014-11-08;1;29,517601862320017;51,0
641;2014-11-08;2014-11-09;2;26,875842562606106;57,0
642;2014-11-08;2014-11-10;3;29,441838848557463;57,0
643;2014-11-08;2014-11-11;4;31,46975131630798;52,0
644;2014-11-08;2014-11-12;5;34,661355974928476;48,0
645;2014-11-08;2014-11-13;6;44,80403457639594;56,0
646;2014-11-08;2014-11-14;7;47,27936772220723;71,0
647;2014-11-08;2014-11-15;8;53,95139320393973;73,0
648;2014-11-08;2014-11-16;9;44,515944252010904;74,0
649;2014-11-08;2014-11-17;10;41,27181547209202;67,0
650;2014-11-15;2014-11-15;1;54,6577254397022;73,0
651;2014-11-15;2014-11-16;2;45,46255525872892;74,0
652;2014-11-15;2014-11-17;3;41,24029496101917;67,0
653;2014-11-15;2014-11-18;4;41,6690697552201;62,0
654;2014-11-15;2014-11-19;5;45,1100929312173;57,0
655;2014-11-15;2014-11-20;6;48,08726570962616;52,0
656;2014-11-15;2014-11-21;7;55,38562722096421;48,0
657;2014-11-15;2014-11-22;8;53,86367242576032;44,0
658;2014-11-15;2014-11-23;9;53,791300307025644;42,0
659;2014-11-15;2014-11-24;10;54,16249382636974;43,0
660;2014-11-22;2014-11-22;1;54,11937864990494;44,0
661;2014-11-22;2014-11-23;2;54,666288804500915;42,0
662;2014-11-22;2014-11-24;3;54,2087539940427;43,0
663;2014-11-22;2014-11-25;4;62,02367515607755;45,0
664;2014-11-22;2014-11-26;5;72,7088496257295;47,0
